id_order,id_pelanggan,id_merchant,tanggal_pembelian,kuantitas,harga,PPN,bayar_cash,metode_bayar
1,75,3,2019-12-12,5,39452,0.1,1,cash
2,19,6,2019-09-07,1,33732,0.1,1,cash
3,68,6,2017-10-05,2,23035,0.1,1,cash
4,27,5,2017-08-17,2,31237,0.1,0,link aja
5,82,6,2018-01-08,5,32000,0.1,1,cash
6,77,3,2018-01-09,2,63192,0.1,1,cash
7,40,1,2017-03-02,1,36584,0.1,1,cash
8,47,5,2017-06-28,3,36426,0.1,0,ovo
9,73,3,2016-07-14,3,42115,0.1,1,cash
10,34,1,2016-02-14,1,31084,0.1,0,shopeepay
11,79,6,2016-08-26,1,58106,0.1,1,cash
12,66,5,2016-06-02,2,61526,0.1,0,ovo
13,15,2,2019-09-11,4,45469,0.1,1,cash
14,26,5,2017-12-27,1,69824,0.1,1,cash
15,76,3,2018-01-14,2,51744,0.1,1,cash
16,47,1,2018-11-07,1,38640,0.1,1,cash
17,39,5,2016-01-14,5,42999,0.1,0,dana
18,66,4,2018-08-18,1,69007,0.1,1,cash
19,4,2,2016-07-10,2,54810,0.1,0,gopay
20,40,1,2016-03-09,4,62281,0.1,0,dana
21,12,3,2019-02-22,4,33456,0.1,1,cash
22,58,4,2016-12-11,3,34313,0.1,0,dana
23,25,1,2016-01-24,1,17250,0.1,0,ovo
24,22,6,2016-10-12,3,68604,0.1,1,cash
25,18,5,2016-07-21,2,56649,0.1,0,gopay
26,63,1,2018-03-11,3,28961,0.1,0,gopay
27,4,2,2016-09-20,2,55539,0.1,1,cash
28,9,6,2016-05-27,5,45963,0.1,0,link aja
29,26,4,2018-08-25,3,59866,0.1,1,cash
30,8,3,2016-02-12,1,55225,0.1,0,link aja
31,11,6,2018-05-26,5,48498,0.1,1,cash
32,46,2,2019-10-24,4,34266,0.1,1,cash
33,42,4,2016-07-17,5,54977,0.1,0,dana
34,70,3,2017-11-17,4,68504,0.1,1,cash
35,62,5,2018-04-15,1,32565,0.1,1,cash
36,60,5,2017-02-10,2,50636,0.1,1,cash
37,42,2,2018-09-26,4,43730,0.1,0,dana
38,74,2,2019-12-24,4,41460,0.1,1,cash
39,77,5,2016-06-30,5,48985,0.1,0,shopeepay
40,11,4,2019-06-16,3,23890,0.1,1,cash
41,55,5,2017-07-17,1,68719,0.1,1,cash
42,82,5,2016-03-20,2,50709,0.1,1,cash
43,12,4,2017-03-14,1,20436,0.1,0,link aja
44,73,3,2019-11-09,3,40323,0.1,1,cash
45,15,2,2017-01-21,1,32542,0.1,0,link aja
46,75,3,2019-12-01,2,28565,0.1,1,cash
47,44,4,2017-09-19,2,69594,0.1,1,cash
48,8,6,2017-08-12,2,48295,0.1,0,ovo
49,33,3,2019-09-07,3,27646,0.1,0,link aja
50,72,4,2019-07-19,3,32354,0.1,1,cash
51,80,4,2018-11-24,3,42123,0.1,0,gopay
52,20,4,2018-02-09,3,39132,0.1,1,cash
53,2,1,2017-01-06,1,49343,0.1,1,cash
54,10,2,2019-10-23,4,68779,0.1,0,ovo
55,73,3,2019-03-25,4,21610,0.1,0,ovo
56,35,2,2016-07-14,2,16840,0.1,0,dana
57,45,6,2019-12-26,2,54526,0.1,1,cash
58,61,1,2017-06-06,2,50845,0.1,0,gopay
59,16,4,2016-01-17,2,48920,0.1,0,shopeepay
60,31,4,2019-03-25,5,59117,0.1,0,ovo
61,56,1,2016-03-15,1,63554,0.1,0,link aja
62,43,3,2017-09-15,5,24843,0.1,1,cash
63,56,3,2018-03-07,5,63497,0.1,0,ovo
64,75,4,2017-04-10,1,57177,0.1,1,cash
65,69,1,2019-05-11,1,57831,0.1,0,dana
66,20,5,2019-01-10,3,34894,0.1,1,cash
67,27,5,2019-07-30,1,39088,0.1,1,cash
68,50,6,2019-12-06,5,41892,0.1,0,gopay
69,65,4,2016-07-17,4,30562,0.1,0,shopeepay
70,85,1,2017-06-16,3,37550,0.1,1,cash
71,51,2,2016-02-07,1,66413,0.1,0,link aja
72,21,5,2016-08-30,3,23730,0.1,0,link aja
73,13,3,2016-06-11,2,53199,0.1,1,cash
74,59,5,2016-07-12,1,58952,0.1,0,dana
75,31,6,2017-01-12,4,25254,0.1,1,cash
76,33,6,2017-04-05,3,34007,0.1,1,cash
77,28,1,2018-03-30,5,55059,0.1,0,gopay
78,74,1,2016-05-31,3,17051,0.1,0,dana
79,56,6,2019-08-17,5,28491,0.1,1,cash
80,49,3,2016-10-23,3,64947,0.1,1,cash
81,1,6,2018-03-01,5,58642,0.1,0,dana
82,45,4,2017-08-01,3,61384,0.1,1,cash
83,34,4,2016-02-05,1,15561,0.1,0,link aja
84,72,6,2017-02-05,1,46052,0.1,0,gopay
85,17,5,2019-07-02,4,18118,0.1,1,cash
86,29,1,2019-02-08,2,27907,0.1,0,ovo
87,61,2,2019-06-06,3,62858,0.1,0,gopay
88,77,1,2017-02-05,1,49282,0.1,0,gopay
89,3,5,2017-01-28,1,58509,0.1,1,cash
90,77,5,2016-09-30,3,16396,0.1,0,ovo
91,27,2,2019-06-14,4,63562,0.1,1,cash
92,37,3,2018-03-08,1,35533,0.1,1,cash
93,72,3,2019-12-20,2,43041,0.1,0,ovo
94,26,3,2018-12-15,4,27894,0.1,1,cash
95,37,1,2017-06-18,3,69404,0.1,0,ovo
96,12,6,2018-09-17,3,49942,0.1,1,cash
97,5,3,2017-06-16,5,36194,0.1,0,gopay
98,64,6,2019-12-13,5,64724,0.1,0,gopay
99,68,3,2016-11-26,1,56866,0.1,1,cash
